time_ms,adc
2006,323
2015,323
2024,319
2034,326
2043,316
2052,328
2062,315
2071,329
2081,315
2090,329
2099,315
2109,329
2118,316
2127,328
2137,317
2146,326
2155,320
2165,322
2174,324
2184,319
2193,327
2202,316
2212,329
2221,315
2230,329
2240,315
2249,329
2258,316
2268,329
2277,317
2286,328
2296,318
2305,326
2315,321
2324,322
2333,325
2343,318
2352,327
2361,316
2371,329
2380,315
2389,329
2399,315
2408,329
2418,316
2427,329
2436,317
2446,328
2455,318
2464,325
2474,322
2483,321
2492,325
2502,318
2511,328
2520,316
2530,329
2539,315
2549,329
2558,315
2567,329
2577,316
2586,329
2595,317
2605,328
2614,319
2623,324
2633,323
2642,320
2652,326
2661,317
2670,328
2680,315
2689,329
2698,315
2708,329
2717,315
2726,329
2736,316
2745,328
2754,317
2764,327
2773,320
2783,323
2792,323
2801,319
2811,326
2820,316
2829,328
2839,315
2848,329
2857,315
2867,329
2876,315
2886,329
2895,316
2904,328
2914,317
2923,326
2932,320
2942,322
2951,324
2960,319
2970,327
2979,316
2988,329
2998,315
3007,329
3017,315
3026,329
3035,316
3045,329
3054,317
3063,328
3073,318
3082,326
3091,321
3101,322
3110,325
3120,318
3129,327
3138,316
3148,329
3157,315
3166,329
3176,315
3185,329
3194,316
3204,329
3213,317
3222,328
3232,318
3241,325
3251,322
3260,321
3269,325
3279,317
3288,328
3297,315
3307,329
3316,315
3325,329
3335,315
3344,329
3354,316
3363,329
3372,317
3382,328
3391,319
3400,324
3410,323
3419,320
3428,326
3438,317
3447,328
3456,315
3466,329
3475,315
3485,329
3494,315
3503,329
3513,316
3522,328
3531,317
3541,327
3550,320
3559,323
3569,323
3578,319
3588,326
3597,316
3606,328
3616,315
3625,329
3634,315
3644,329
3653,315
3662,329
3672,316
3681,328
3690,317
3700,326
3709,320
3719,322
3728,324
3737,318
3747,327
3756,316
3765,328
3775,315
3784,329
3793,315
3803,329
3812,316
3822,329
3831,317
3840,328
3850,318
3859,326
3868,321
3878,322
3887,325
3896,318
3906,328
3915,316
3924,329
3934,315
3943,329
3953,315
3962,329
3971,316
3981,329
3990,317
3999,328
4009,318
4018,325
4027,322
4037,321
4046,325
4056,317
4065,328
4074,315
4084,329
4093,315
4102,329
4112,315
4121,329
4130,316
4140,328
4149,317
4158,328
4168,319
4177,324
4187,323
4196,320
4205,326
4215,317
4224,328
4233,315
4243,329
4252,315
4261,329
4271,315
4280,329
4290,316
4299,328
4308,317
4318,327
4327,320
4336,323
4346,323
4355,319
4364,326
4374,316
4383,328
4392,315
4402,329
4411,315
4421,329
4430,315
4439,329
4449,316
4458,328
4467,317
4477,326
4486,320
4495,322
4505,324
4514,318
4524,327
4533,316
4542,328
4552,315
4561,329
4570,315
4580,329
4589,316
4598,329
4608,317
4617,328
4626,318
4636,326
4645,321
4655,322
4664,325
4673,318
4683,328
4692,316
4701,329
4711,315
4720,329
4729,315
4739,329
4748,316
4758,329
4767,317
4776,328
4786,319
4795,325
4804,322
4814,321
4823,325
4832,317
4842,328
4851,315
4860,329
4870,315
4879,329
4889,315
4898,329
4907,316
4917,328
4926,317
4935,328
4945,319
4954,324
4963,323
4973,320
4982,326
4992,317
5001,328
5010,315
5020,329
5029,315
5038,329
5048,315
5057,329
