time_ms,adc
2000,330
2100,330
2200,330
2300,330
2400,330
2500,331
2600,332
2700,333
2800,334
2900,336
3000,337
3100,338
3200,340
3300,341
3400,343
3500,343
3600,343
3700,344
3800,344
3900,344
4000,344
4100,344
4200,344
4300,344
4400,344
4500,344
4600,344
4700,344
4800,343
4900,342
5000,341
5100,340
5200,339
5300,338
5400,337
5500,335
5600,334
5700,333
5800,332
5900,332
6000,332
6100,331
6200,331
6300,331
6400,331
6500,330
6600,330
6700,330
6800,330
6900,330
7000,331
7100,331
7200,332
7300,333
7400,334
7500,336
7600,337
7700,339
7800,340
7900,342
8000,343
8100,343
8200,344
8300,344
8400,344
8500,344
8600,344
8700,344
8800,344
8900,344
9000,344
9100,344
9200,344
9300,344
9400,343
9500,342
9600,341
9700,340
9800,339
9900,338
10000,337
10100,335
10200,334
10300,333
10400,332
10500,332
10600,332
10700,331
10800,331
10900,331
11000,331
11100,331
11200,331
11300,331
11400,331
11500,331
11600,331
11700,331
11800,332
11900,333
12000,334
12100,335
12200,336
12300,338
12400,339
12500,341
12600,342
12700,343
12800,343
12900,344
13000,344
13100,344
13200,344
13300,344
13400,344
13500,344
13600,344
13700,344
13800,344
13900,344
14000,344
14100,343
14200,342
14300,341
14400,340
14500,339
14600,338
14700,337
14800,336
14900,335
15000,333
